;__label__FIN#positive;"Thị trường tăng ""nóng"", hàng loạt doanh nghiệp đăng ký bán cổ phiếu quỹ, Vinhomes và Sacombank cũng nhập cuộc"
15;__label__FIN#positive;Đất Xanh Services (DXS) chốt ngày giao dịch đầu tiên trên HNX, giá chào sàn 32.000 đồng/cp
16;__label__FIN#negative;Thị trường rung lắc dữ dội, VN-Index mất gần 14 điểm với thanh khoản sụt giảm
17;__label__FIN#positive;Đất Xanh (DXG): Sau Chủ tịch Lương Trí Thìn, quỹ ngoại Dragon Capital mua vào 1 triệu cổ phiếu
18;__label__FIN#positive;"Chứng khoán BSC: ""Quỹ ngoại mua ròng trở lại, Vn-Index hướng về vùng 1.500 điểm trong quý 3/2021"""
19;__label__FIN#positive;Chứng khoán Rồng Việt (VDSC): Lãi sau thuế 6 tháng đã vượt 70% kế hoạch cả năm với 245 tỷ đồng, cao gấp 18,6 lần cùng kỳ
20;__label__FIN#neutral;Lịch chốt quyền nhận cổ tức bằng tiền của 16 doanh nghiệp
21;__label__FIN#positive;Thủy điện sông Ba Hạ (SBH) chi gần 250 tỷ đồng trả cổ tức
22;__label__FIN#positive;Gỗ Đức Thành (GDT): 6 tháng thực hiện 50% chỉ tiêu doanh thu với 210 tỷ đồng, tăng 25% so với cùng kỳ
23;__label__FIN#positive;Cấp thoát nước Long An (LAW): Quý 2 lãi 3,5 tỷ đồng giảm 36% so với cùng kỳ
24;__label__FIN#positive;PV GAS: LNST quý 2/2021 tăng 31% lên 2.245 tỷ đồng
25;__label__FIN#neutral;VN-Index sẽ rung lắc mạnh tại vùng 1.400 điểm?
26;__label__FIN#neutral;VNDIRECT thay đổi chính sách để nâng cao chất lượng dịch vụ bảng giá
27;__label__FIN#neutral;Hàng loạt CTCK gặp lỗi sự cố, Chủ tịch FPT IS khẳng định không có xung đột giữa hệ thống mới và cũ
28;__label__FIN#neutral;Ông Lê Hải Trà giải thích về sự cố ở các công ty chứng khoán sáng 7-7
29;__label__FIN#positive;Phó Chủ tịch HĐQT của DIC Corp đăng ký mua 5 triệu cổ phiếu DIG
30;__label__FIN#positive;Cổ phiếu bán lẻ đồng loạt tăng trần bất chấp ảnh hưởng Covid-19
31;__label__FIN#positive;Công ty bán phồng tôm chốt danh sách cổ đông phát hành hơn 4,2 triệu cổ phiếu trả cổ tức
32;__label__FIN#positive;Fubon FTSE Vietnam ETF trở lại giải ngân vào chứng khoán Việt Nam
33;__label__FIN#positive;Thị trường bật tăng trở lại, khối ngoại mua ròng hơn 2.000 tỷ đồng trong phiên 7/7
34;__label__FIN#positive;Dragon Capital tiếp tục bán 1 triệu cổ phiếu KBC trong những ngày đầu tháng 7
35;__label__FIN#positive;Vietnam Airlines ký hợp đồng tín dụng với 3 ngân hàng, giải ngân gói hỗ trợ 4.000 tỷ đồng
36;__label__FIN#positive;Novaland (NVL) lấy ý kiến cổ đông về việc phát hành hơn 884 triệu cổ phiếu thưởng và trả cổ tức
37;__label__FIN#positive;Hoàng Anh Gia Lai (HAGL): Sắp rót 50 tỷ lập công ty sản xuất điện sinh khối tại Kon Tum
38;__label__FIN#negative;Tundra bán LPB, đưa ACV vào top 10 khoản đầu tư lớn nhất danh mục
39;__label__FIN#positive;VPS tiếp tục giữ vững vị trí số 1 về thị phần môi giới HNX, UPCom trong quý 2/2021
40;__label__FIN#neutral;Hệ thống giao dịch SSI gặp sự cố, dừng các kênh nhận lệnh trong sáng 7/7
41;__label__FIN#neutral;Tiêu điểm xử phạt tuần qua: Rất nhiều cá nhân và doanh nghiệp bị UBCKNN phạt
42;__label__FIN#positive;"SSI Research: Nửa đầu năm 2021, các quỹ ETF ""hút"" ròng gần 600 triệu USD, gấp 2,6 lần cả năm trước"
43;__label__FIN#positive;Hàng loạt cổ phiếu tím lịm, VnIndex tăng 34 điểm, VN30-Index tăng vọt 51 điểm
44;__label__FIN#positive;Chủ tịch HĐQT Đất Xanh Group đăng ký mua 10 triệu cổ phiếu DXG
45;__label__FIN#positive;"Thị trường chứng khoán phái sinh đã ""xanh mướt"", phiên giảm sâu hôm qua chỉ là cú ""bear trap""?"
46;__label__FIN#neutral;Sau phiên giảm điểm bất bình thường, thị trường chứng khoán liệu có nhanh chóng hồi phục lại?
47;__label__FIN#neutral;Lịch sự kiện và tin vắn chứng khoán ngày 7/7
48;__label__FIN#neutral;Góc nhìn CTCK: Nhà đầu tư chưa vội bắt đáy sau phiên giảm sốc, nên đưa tỷ trọng danh mục về mức cân bằng
49;__label__FIN#positive;Thị phần môi giới HoSE quý 2/2021: VPS củng cố vị trí số 1, nới rộng khoảng cách với các công ty phía sau
50;__label__FIN#neutral;TCB, MSB, VIB, KBC, OCB, SMC, DXG, GEX, DHC, CDC, VC3, NDN, CMX, NED, NTP: Thông tin giao dịch lượng lớn cổ phiếu
51;__label__FIN#positive;Nhựa An Phát Xanh (AAA) dự kiến phát hành gần 30 triệu cổ phiếu thưởng để tăng vốn cổ phần
52;__label__FIN#neutral;HoSE: Thông tin sự cố trong phiên ATC là giả mạo
53;__label__FIN#positive;Thủy điện Gia Lai (GHC) triển khai phương án chào bán gần 16 triệu cổ phiếu cho cổ đông hiện hữu
54;__label__FIN#negative;VN-Index giảm mạnh nhất trong gần 6 tháng, vốn hóa HoSE bị “thổi bay” hơn 200.000 tỷ đồng trong phiên 6/7
55;__label__FIN#neutral;Nhà đầu tư cổ phiếu Công ty cổ phần Đạt Phương (DPG) cần biết
56;__label__FIN#positive;Nhà đầu tư nội mở kỷ lục hơn 620 nghìn tài khoản chứng khoán sau 6 tháng đầu năm, lớn hơn tổng lượng tài khoản năm 2020 và 2019 cộng lại
57;__label__FIN#positive;Chủ tịch HĐQT Tập đoàn Nam Mê Kông đăng ký mua tiếp 16,5 triệu cổ phiếu VC3
58;__label__FIN#negative;Thị trường “bốc hơi” hơn 56 điểm, khối ngoại trở lại mua ròng trong phiên 6/7
59;__label__FIN#negative;"SSI Research: ""Định giá thị trường hiện tại không an toàn cho các giao dịch mua mới"""
60;__label__FIN#positive;Tập đoàn Trí Việt (TVC) chào bán hơn 34 triệu cổ phiếu, tăng vốn điều lệ lên gấp rưỡi
61;__label__FIN#positive;Thanglong Invest (TIG) chào bán riêng lẻ 30 triệu cổ phiếu, một nhà đầu tư dự chi 210 tỷ đồng mua 20 triệu cổ phiếu
62;__label__FIN#neutral;Chân dung tân Tổng Giám đốc Thaiholdings
63;__label__FIN#neutral;Pyn Elite Fund hạ tỷ trọng cổ phiếu ngân hàng, gia tăng nắm giữ VHM trong tháng 6
64;__label__FIN#positive;MBB bứt phá ấn tượng ngay nửa đầu năm 2021
65;__label__FIN#positive;Phát Đạt (PDR): Cổ phiếu tăng nóng hơn 2,3 lần lên 94.000 đồng/cp và được dùng làm đảm bảo cho khoản huy động mới 230 tỷ đồng
66;__label__FIN#positive;Xây dựng Hòa Bình (HBC) trúng thầu thêm 2 dự án mới, tổng giá trị 761 tỷ đồng
67;__label__FIN#negative;Hàng loạt cổ phiếu bất ngờ giảm sàn, VnIndex rơi 56 điểm trong sự bất ngờ của nhà đầu tư
68;__label__FIN#positive;Chuỗi cầm đồ F88 tiếp tục huy động thành công 100 tỷ trái phiếu, lãi suất 12,5%/năm
69;__label__FIN#negative;Thuỷ sản Nam Việt (ANV): Bỏ ngỏ kế hoạch quay lại thị trường Mỹ trong năm 2021, lợi nhuận 5 tháng ước đạt 114 tỷ đồng
70;__label__FIN#positive;Thép Pomina : Thông qua kế hoạch phát hành 70 triệu cổ phiếu, tăng vốn lên 3.500 tỷ đồng trong năm 2021
71;__label__FIN#positive;Sau 3 năm, vốn VinHomes lại lớn hơn Vingroup, giá trị của TCB vượt qua cả BIDV lẫn Vietinbank
72;__label__FIN#positive;Một doanh nghiệp chăn nuôi chốt quyền nhận cổ tức bằng tiền tỷ lệ gần 83%
73;__label__FIN#neutral;"VNDIRECT: ""Công nghệ 5G sẽ là động lực mới trong ngành Công nghệ - Viễn thông"""
74;__label__FIN#negative;Phiên 5/7: Khối ngoại quay đầu bán ròng, tập trung bán CTG, HPG
75;__label__FIN#positive;"VNDIRECT: ""Nhu cầu thuê đất KCN tăng cao trong nửa cuối năm 2021 và sang cả năm 2022"""
76;__label__FIN#positive;IPAAM: “VN-Index định giá ở mức hợp lý, những đợt điều chỉnh trong tương lai là cơ hội gia tăng tỷ trọng đầu tư”
77;__label__FIN#positive;Rạng Đông Holdings (RDP): Lên kế hoạch chào bán 20 triệu cổ phiếu với giá không thấp hơn 10.000 đồng/cp
78;__label__FIN#positive;Chứng khoán Đại Nam: Đã phân phối 84 triệu cổ phiếu cho 2 tổ chức và 14 cá nhân, tăng vốn lên 1.000 tỷ đồng nhằm tham gia thị trường phái sinh
79;__label__FIN#positive;Chứng khoán SHS: Thị giá tăng mạnh, nhóm liên quan ông Bùi Minh Lực bán ra hơn 3 triệu cổ phiếu và không còn là cổ đông lớn
80;__label__FIN#positive;GVR: Mảng khu công nghiệp sẽ đem về lợi nhuận chính, kế hoạch lợi nhuận năm 2021 vào mức 4.564 tỷ đồng
81;__label__FIN#neutral;Thiên Nam Group tổ chức Đại hội đồng Cổ đông thành công
82;__label__FIN#neutral;Được đánh giá là ngành kinh doanh an toàn nhất, lý do gì khiến cổ phiếu ngành cấp nước chưa thu hút dòng tiền trên TTCK?
83;__label__FIN#neutral;Cảng Đồng Nai (PDN) chốt danh sách cổ đông nhận cổ tức đợt 2/2020 bằng tiền tỷ lệ 20%
84;__label__FIN#neutral;Các quỹ ETFs sẽ mua bán ra sao trong kỳ tái cơ cấu tháng 7?
85;__label__FIN#positive;Sơ bộ KQKD quý 2/2021: Nhóm ngân hàng, thép, xăng dầu đồng loạt tăng trưởng dương, lợi nhuận doanh nghiệp đầu ngành TCB, HPG, PLX… thậm chí tăng bằng lần
86;__label__FIN#positive;Quy chế giao dịch mới: Giữ nguyên lô giao dịch 100 cổ phiếu, HoSE có quyền yêu cầu tạm ngừng việc sửa, hủy lệnh trong thời gian khớp lệnh liên tục
87;__label__FIN#neutral;Xu thế dòng tiền: Có hệ thống giao dịch mới, thị trường dễ bị “đánh úp”?
88;__label__FIN#positive;"Thanh khoản trở về ngưỡng ""tỷ đô"" khi hệ thống giao dịch mới được vận hành, thị trường chứng khoán hồi phục mạnh"
89;__label__FIN#neutral;Lịch sự kiện và tin vắn chứng khoán ngày 5/7
90;__label__FIN#positive;FIT, BMI và 3 cổ phiếu ngành chứng khoán có thể lọt vào danh mục VNFinLead ETF trong kỳ review tháng 7?
91;__label__FIN#negative;Mirae Asset: “Thị trường có thể sớm điều chỉnh trong tháng 7, VN-Index lùi về vùng 1.200 điểm”
92;__label__FIN#positive;Tự doanh CTCK bán ròng tuần thứ 5 liên tiếp với 930 tỷ đồng
93;__label__FIN#neutral;"Chủ tịch FPT IS: ""Chúng tôi đã tầm soát rất kỹ và sẵn sàng các giải pháp để hệ thống vận hành an toàn’"
94;__label__FIN#positive;Chứng khoán APEC mạnh tay chi tiền tỷ tri ân cổ đông
95;__label__FIN#neutral;SMC nhà sản xuất và phân phối thép uy tín, hiệu quả
96;__label__FIN#negative;Hoàng Anh Gia Lai (HAGL) tiếp tục bán thoả thuận 51,5 triệu cổ phần HAGL Agrico, giảm sở hữu xuống 11,43% vốn
97;__label__FIN#positive;Đặt kế hoạch không tăng trưởng do áp lực Covid-19, công ty con của Vietnam Airlines tiếp tục duy trì mức cổ tức cao ngất 75%
98;__label__FIN#positive;Chứng khoán SSI: Thị giá lên đỉnh cao, em trai ông Nguyễn Duy Hưng đăng ký bán 800.000 cổ phiếu
99;__label__FIN#positive;Thực phẩm Sao Ta (FMC): Doanh thu 6 tháng tăng 29% lên 2.279 tỷ đồng
100;__label__FIN#neutral;VND, SSI, ABB, AAA, HHV, PGT, DHC, NQT, HNA, HAF, PET, DIH, HGM: Thông tin giao dịch lượng lớn cổ phiếu
101;__label__FIN#neutral;Công ty Hạ tầng Miền Bắc đăng ký bán 50 triệu cổ phiếu HHV của Giao thông Đèo Cả
102;__label__FIN#neutral;Lịch chốt quyền nhận cổ tức bằng tiền của 12 doanh nghiệp
103;__label__FIN#positive;Phiên 2/7: Khối ngoại mua ròng hơn 1.900 tỷ đồng, tâm điểm giao dịch NVL
104;__label__FIN#neutral;Tại sao VinaCapital lại đổ tiền vào DXS?
105;__label__FIN#positive;CNG Việt Nam ước đạt gần 30 tỷ lợi nhuận trong quý 2/2021, gấp nhiều lần cùng kỳ năm trước
106;__label__FIN#neutral;Bất chấp VN-Index vượt đỉnh lịch sử, gần trăm mã cổ phiếu vẫn ngược dòng giảm trong nửa đầu năm 2021
107;__label__FIN#neutral;Ngày 5/7, HoSE sẽ chính thức vận hành hệ thống mới do FPT cung cấp
108;__label__FIN#neutral;Tiêu điểm xử phạt tuần qua: Rất nhiều cá nhân bị UBCKNN phạt
109;__label__FIN#neutral;Là hai đơn vị được hưởng mức thuế 0 USD/kg khi xuất sang Mỹ trong đợt POR16, Vĩnh Hoàn và Navico sẽ hưởng lợi như thế nào?
110;__label__FIN#positive;TNG ước lợi nhuận 80 tỷ đồng sau 6 tháng, tăng 25% so với cùng kỳ 2020
111;__label__FIN#neutral;Điểm danh những doanh nghiệp chốt quyền nhận cổ tức bằng tiền, bằng cổ phiếu và cổ phiếu thưởng tuần từ 5/7 - 9/7
112;__label__FIN#positive;"Lại hồi phục ""nhanh như một cơn gió"", thanh khoản quay lại ngưỡng tỷ đô, Vn30-Index tăng 9 điểm"
113;__label__FIN#positive;Đạt Phương (DPG) chốt quyền nhận cổ tức bằng tiền và phát hành cổ phiếu thưởng tổng tỷ lệ 50%
114;__label__FIN#neutral;Giám đốc đầu tư Dragon Capital: Kỳ vọng ra mắt các sản phẩm T+0, bán khống sau khi hệ thống giao dịch mới hoạt động
115;__label__FIN#neutral;HDG, GEX, CKG, TTZ, TCO, MCF, VNA, TMW: Thông tin giao dịch lượng lớn cổ phiếu
116;__label__FIN#neutral;Lịch sự kiện và tin vắn chứng khoán ngày 2/7
117;__label__FIN#positive;Gần 58 triệu cổ phiếu Vingroup vừa được Vinpearl chuyển nhượng cho hai ngân hàng ngoại
118;__label__FIN#positive;Dịch vụ Hoàng Huy (HHS) triển khai phương án phát hành 33 triệu cổ phiếu trả cổ tức
119;__label__FIN#negative;Dabaco (DBC): LNST quý 2 giảm mạnh chỉ còn phân nửa cùng kỳ, luỹ kế 6 tháng đạt 579 tỷ đồng
120;__label__FIN#positive;Chứng khoán Phú Hưng (PHS): Phát hành 50 triệu cổ phiếu, tăng vốn lên 1.400 tỷ đồng
121;__label__FIN#neutral;Giá phân bón tăng nóng và câu chuyện cân bằng lợi ích: Góc nhìn từ người trong cuộc
122;__label__FIN#negative;"KBSV: ""Khả năng cao xuất hiện nhịp điều chỉnh trong nửa sau quý 3, VN-Index kết thúc năm 2021 ở vùng 1.480 điểm"""
123;__label__FIN#neutral;Nhiều quỹ thắng lớn trên TTCK Việt Nam nửa đầu năm 2021 nhờ cổ phiếu ngân hàng, Diamond ETF và VNFinLead ETF bỏ xa phần còn lại
124;__label__FIN#positive;Tư vấn Xây dựng Điện 2 (TV2) chốt quyền nhận cổ tức bằng tiền và cổ phiếu tổng tỷ lệ 35%
125;__label__FIN#positive;Chứng khoán Agribank (AGR) ước lãi 6 tháng đầu năm 160 tỷ đồng, quyết tâm xóa lỗ lũy kế trong năm 2021
126;__label__FIN#negative;Phiên 1/7: Khối ngoại quay đầu bán ròng 250 tỷ đồng, tập trung bán VPB và CTG
127;__label__FIN#negative;Vinaruco (VRG) trình cổ đông kế hoạch lợi nhuận giảm gần 20% so với dự kiến ban đầu
128;__label__FIN#neutral;Lịch chốt quyền nhận cổ tức bằng tiền của 9 doanh nghiệp
129;__label__FIN#neutral;“Đua lệnh” ngày không hưởng quyền, cổ phiếu có thật sự “rẻ”?
130;__label__FIN#neutral;Giải đấu “Huyền thoại Phái sinh” chính thức khai chiến vào ngày 01/07/2021
131;__label__FIN#negative;PE đã trên 19 lần, nhiều cổ phiếu tăng “nóng”, thị trường chứng khoán trước nguy cơ phải điều chỉnh?
132;__label__FIN#positive;Khối ngoại mua ròng hơn 1.750 tỷ đồng trong phiên giao dịch cuối quý 2
133;__label__FIN#positive;Traphaco ước lãi 6 tháng đạt 124 tỷ đồng, tăng trưởng gần 38% so với cùng kỳ 2020
134;__label__FIN#neutral;"3 năm ""nghiện"" chơi chứng khoán, ngày lãi 800 triệu, ngày bay 1 tỷ đồng, CEO Unique OOH nghiệm ra bài học đau đớn: Hãy đầu tư bài bản, hoặc bỏ đi mà vui vẻ sống!"
135;__label__FIN#positive;ĐHCĐ Fecon: Tự tin với kế hoạch lãi 175 tỷ đồng, đẩy mạnh phát triển dự án năng lượng tái tạo trong năm 2021
136;__label__FIN#positive;VEAM sẽ dành hơn 6.600 tỷ đồng chia cổ tức năm 2020, tỷ lệ 49,9%
137;__label__FIN#positive;"Cổ phiếu ngành hàng không sẽ ""trỗi dậy"" vào năm 2023, nửa cuối năm nay phù hợp để tích lũy"
138;__label__FIN#positive;Gemadept (GMD): Lợi nhuận 6 tháng ước tăng 38% lên 388 tỷ đồng, cảng nước sâu Gemalink dự hoạt động hết công suất ngay trong quý 3/2021
139;__label__FIN#positive;Tập đoàn Bảo Việt trả cổ tức năm 2020 bằng tiền tỷ lệ gần 9%, kế hoạch chi 3.800 tỷ đồng tăng vốn cho công ty thành viên
140;__label__FIN#negative;"VnIndex giảm nhẹ cuối phiên, VCB, MSN, VIC tăng mạnh ""cân"" CTG, TCB"
141;__label__FIN#negative;Cảnh báo những rủi ro rình rập, chứng khoán có thể điều chỉnh 7-10%?
142;__label__FIN#positive;Lọc Hoá dầu Bình Sơn (BSR): Doanh thu 6 tháng ước tăng 56% lên 49.483 tỷ đồng, lợi nhuận thu về hơn 3.000 tỷ đồng
143;__label__FIN#neutral;TCB, VIB, HCM, IDV, NHA, VTS, CSI, DID, MVC, BCP, DXL, S74, S96: Thông tin giao dịch lượng lớn cổ phiếu
144;__label__FIN#negative;PV OIL: Hoàn tất thoái hết vốn gắn với thu hồi công nợ tại Dầu khí Dương Đông Kiên Giang
145;__label__FIN#neutral;Lịch sự kiện và tin vắn chứng khoán ngày 30/6
146;__label__FIN#negative;OGC Group bị Cục thi hành án dân sự quận Ba Đình kê biên gần 4 triệu cổ phiếu OCH để chờ xử lý
147;__label__FIN#positive;Sợi Thế Kỷ chốt quyền nhận cổ tức bằng tiền tỷ lệ 15%, cổ phiếu STK đã tăng gần gấp đôi từ đầu năm
148;__label__FIN#positive;Thuỷ sản Vĩnh Hoàn (VHC): Được áp mức thuế 0 USD/kg khi xuất sang Mỹ trong đợt rà soát POR16
149;__label__FIN#negative;Lo ngại thiếu hụt lao động, May Nhà Bè (MNB) đăt kế hoạch lợi nhuận năm 2021 giảm 27%
150;__label__FIN#positive;Quốc tế Sơn Hà (SHI) chốt danh sách cổ đông phát hành hơn 9 triệu cổ phiếu trả cổ tức
151;__label__FIN#positive;Xuất nhập khẩu Bình Thạnh (GIL) triển khai phương án phát hành 7,2 triệu cổ phiếu trả cổ tức
152;__label__FIN#positive;Phiên 29/5: Khối ngoại mua ròng hơn 40 tỷ đồng trên HoSE, tập trung mua VHM
153;__label__FIN#positive;Xếp dỡ Tân Cảng (TCL) chốt quyền trả cổ tức bằng tiền tỷ lệ 50%
154;__label__FIN#positive;Phục vụ mặt đất Sài Gòn (SGN) chuẩn bị trả cổ tức đợt 1/2020 bằng tiền tỷ lệ 15%
155;__label__FIN#neutral;Ủy viên HĐQT VLXD Bình Dương muốn chi hơn 100 tỷ mua cổ phiếu MVC
156;__label__FIN#positive;VCBS: “Nếu hệ thống giao dịch mới của HOSE vận hành ổn định, Việt Nam có thể lọt vào danh sách theo dõi nâng hạng thị trường trong năm 2022”
157;__label__FIN#positive;"Giá phân bón nhảy vọt trước tình trạng khan hiếm gia tăng, cổ phiếu ngành DCM, DPM, LAS tăng ""phi mã"""
158;__label__FIN#positive;Thủy điện sông Ba Hạ (SBH): Chia cổ tức bằng tiền năm 2020 tổng tỷ lệ gần 65%
159;__label__FIN#positive;Haxaco (HAX) thông qua kế hoạch thưởng cổ phiếu cho ban lãnh đạo, phát hành ESOP giá 10.000 đồng
160;__label__FIN#positive;Chủ tịch VSD: Chưa lo bong bóng chứng khoán, dự kiến thêm 300 ngàn tài khoản mở mới
161;__label__FIN#positive;Quỹ ETF VN30 do Dragon Capital quản lý lần đầu có quy mô vượt mốc 10.000 tỷ đồng
162;__label__FIN#positive;"Quỹ ETF đến từ Mỹ bắt đầu rót tiền vào thị trường Việt Nam, tập trung ""gom"" chứng chỉ Diamond ETF"
163;__label__FIN#positive;Tăng trưởng kinh tế 6 tháng và ý nghĩa đối với thị trường chứng khoán
164;__label__FIN#neutral;"Trò chuyện với Trưởng phòng Tư vấn đầu tư Chứng khoán ở tuổi 23: ""Chơi chứng khoán có như trò cờ bạc hay không, tùy vào cách nghĩ của bạn""!"
165;__label__FIN#positive;Rung lắc mạnh trong phiên chiều, VN-Index vẫn vượt mốc 1.410 điểm với lực kéo từ VHM
166;__label__FIN#positive;CEO Bitexco xin rút khỏi HĐQT IDICO sau thương vụ thoái vốn
167;__label__FIN#positive;ĐHĐCĐ Thép Pomina (POM): Đặt kế hoạch lãi cao gấp 38 lần lên 600 tỷ đồng, thay Chủ tịch và sắp phát hành tối đa 70 triệu cổ phần
168;__label__FIN#neutral;Lịch chốt quyền nhận cổ tức bằng tiền của 6 doanh nghiệp
169;__label__FIN#positive;Chứng khoán Rồng Việt (VDS) chốt danh sách cổ đông phát hành 5 triệu cổ phiếu trả cổ tức
170;__label__FIN#neutral;Lịch sự kiện và tin vắn chứng khoán ngày 29/6
171;__label__FIN#positive;Chủ tịch SCG muốn mua thêm 1 triệu cổ phiếu
172;__label__FIN#positive;Cổ phiếu Novaland (NVL) vượt 120.000 đồng, chủ tịch Bùi Thành Nhơn tiếp tục đứng ra đảm bảo cho kế hoạch phát hành mới 300 tỷ trái phiếu
173;__label__FIN#negative;Dự kiến lên sàn giá 4x, Đất Xanh Services (DXS) lại bất ngờ “hạ giá” xuống còn 32.000 đồng/cp
174;__label__FIN#positive;Chứng khoán SHS chốt phương án phát hành chia thưởng và bán ưu đãi cho cổ đông hiện hữu, tăng vốn lên 3.250 tỷ đồng
175;__label__FIN#positive;Đất Xanh (DXG): Sắp vay trái phiếu quốc tế tối đa 300 triệu USD nhằm phát triển quỹ đất
176;__label__FIN#positive;"Thép Tiến Lên (TLH): Kinh doanh tháng 5 ""hạ nhiệt"", vẫn hoàn thành vượt kế hoạch năm sau 5 tháng"
177;__label__FIN#neutral;HHS, NLG, NHH, TNG, HOT, TTZ, NTH: Thông tin giao dịch lượng lớn cổ phiếu
178;__label__FIN#positive;"Long Hậu (LHG) đặt kế hoạch LNST năm 2021 ""đi lùi"", dự kiến chi hơn 1.000 tỷ đồng cho đầu tư"
179;__label__FIN#positive;Vietjet chào bán riêng lẻ tăng 15% vốn và phát hành 300 triệu trái phiếu chuyển đổi
180;__label__FIN#positive;Chứng khoán SSI – 10 năm Finance Asia vinh danh “Nhà môi giới tốt nhất Việt Nam”
181;__label__FIN#positive;Becamex IDC (BCM) dự chi 414 tỷ đồng trả cổ tức năm 2020
182;__label__FIN#negative;Rủi ro lạm phát toàn cầu và tác động tới chứng khoán Việt Nam
183;__label__FIN#positive;Tập đoàn ASG phát hành gần 13 triệu cổ phiếu trả cổ tức
184;__label__FIN#negative;Mặc cho VN-Index lập đỉnh mới, khối ngoại quay đầu bán ròng hơn 200 tỷ đồng trong phiên 28/6
185;__label__FIN#neutral;"HDI Global SE đã ""sang tay"" gần 14 triệu cổ phiếu PVI cho Chứng khoán HSC?"
186;__label__FIN#neutral;Điều gì khiến thanh khoản thị trường chứng khoán “tụt áp” nửa cuối tháng 6?
187;__label__FIN#neutral;Tặng 10 triệu phí khi mở tài khoản chứng khoán tại YSVN
188;__label__FIN#positive;Sau HVS, Hyundai Thành Công thâu tóm thêm Chứng khoán Đà Nẵng, sắp tăng vốn nghìn tỷ?
189;__label__FIN#negative;Thép Đà Nẵng (DNS) rời sàn theo biểu quyết của cổ đông lớn nhất, VnSteel phản đối bất thành trong bối cảnh ngành thép khởi sắc
190;__label__FIN#positive;CEO Tập đoàn HIPT (HIG) muốn mua thỏa thuận thêm 3 triệu cổ phiếu
191;__label__FIN#neutral;Ông Lê Hải Trà nhận tổng lương, thưởng gần 840 triệu đồng trong năm 2020
192;__label__FIN#neutral;"Một nhà đầu tư bị phạt gần 100 triệu đồng sau khi ""ngồi ghế"" cổ đông lớn Khoáng sản luyện kim màu (KSK)"
193;__label__FIN#positive;VnIndex tăng mạnh mẽ 16 điểm, nhiều nhà đầu tư ngỡ ngàng nhìn thị trường chứng khoán vượt đỉnh
194;__label__FIN#neutral;"Dòng tiền ""tỷ đô"" mất hút ở đỉnh: Những kịch bản nào có thể sẽ xảy ra?"
195;__label__FIN#neutral;[Live ĐHĐCĐ AAA] Kế hoạch niêm yết cổ phiếu tại thị trường chứng khoán Mỹ
196;__label__FIN#negative;ĐHĐCĐ Ricons: Cựu CEO Coteccons – Nguyễn Sỹ Công – làm Chủ tịch HĐQT nhiệm kỳ 2021-2026, kế hoạch lãi ròng giảm gần nửa xuống còn 150 tỷ đồng
197;__label__FIN#positive;MBS: “Thanh khoản sụt giảm cuối tháng 6 là yếu tố kỹ thuật, VN-Index có thể cán mốc 1.475 điểm trong thời gian tới”
198;__label__FIN#positive;Lịch sự kiện và tin vắn chứng khoán ngày 28/6
199;__label__FIN#neutral;Bạn là nhà đầu tư hay người đầu cơ?
